matrix_id,matrix,k,method,variant,repeat,sweeps,threads,task_dir,factor_recorded,solver_recorded,factor_status,factor_finite,failure_origin_sweep,failure_origin_status,objective,masked_residual_norm,relative_masked_residual,t_factor,t_objective,n,nnz,L_nnz,U_nnz,S_nnz,solver_status,iterations,converged,true_rel_residual,nan_solution,nan_residual,breakdown,stagnated,outcome
AMD/G3_circuit,G3_circuit,0,ats_ic,async,1,2,128,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t128/AMD__G3_circuit_k0_t128,1,1,ok,1,,,6.505322587906759,3.6070271936614953,0.0024792927389349004,0.100987647,0.1060626989,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,319.0,1,9.450775011676166e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,1,3,2,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t2/AMD__G3_circuit_k0_t2,1,1,ok,1,,,1.7718449525634244e-26,1.8824690980536307e-13,1.2939164900866004e-16,0.06153543317,0.025282074,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.112132057478294e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,1,3,4,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t4/AMD__G3_circuit_k0_t4,1,1,ok,1,,,0.00027802966977660484,0.02358091049033539,1.6208355805825095e-05,0.03653989616,0.01401048503,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.884781085873936e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,1,3,8,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t8/AMD__G3_circuit_k0_t8,1,1,ok,1,,,0.0009016312591487207,0.042464838611461136,2.9188237397940823e-05,0.01737246476,0.007898730924,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.723272587746862e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,1,3,16,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t16/AMD__G3_circuit_k0_t16,1,1,ok,1,,,0.001400970239546389,0.05293335884952682,3.63837823218283e-05,0.01173168491,0.004619093845,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.803779064601934e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,1,3,32,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t32/AMD__G3_circuit_k0_t32,1,1,ok,1,,,0.0089656380258082,0.13390771468297263,9.204156411248536e-05,0.0108886268,0.00458079786,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.989492222143315e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,1,3,64,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t64/AMD__G3_circuit_k0_t64,1,1,ok,1,,,0.040397285327734685,0.28424385772689864,0.00019537522028876191,0.1326340979,0.05273052608,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.541487468011153e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,1,3,128,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t128/AMD__G3_circuit_k0_t128,1,1,ok,1,,,0.09470838313361583,0.4352203651797922,0.00029914903140264987,0.158552161,0.09344494785,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.371473546433672e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,1,2,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t2/AMD__G3_circuit_k0_t2,1,1,ok,1,,,5.296231814149282,3.2546065243433904,0.002237056138103668,0.03336088499,0.02545365598,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.960481735963916e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,1,4,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t4/AMD__G3_circuit_k0_t4,1,1,ok,1,,,37.763537690190816,8.690631471900165,0.005973511800216153,0.01515311189,0.01408235822,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.846771953760503e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,1,8,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t8/AMD__G3_circuit_k0_t8,1,1,ok,1,,,85.94291287639732,13.1105234736373,0.009011527750314323,0.008591060992,0.007240165025,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.590480712921527e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,1,16,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t16/AMD__G3_circuit_k0_t16,1,1,ok,1,,,166.14762877573466,18.22896753937176,0.012529693964623691,0.006132302107,0.003878207877,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,315.0,1,9.617174723620512e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,1,32,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t32/AMD__G3_circuit_k0_t32,1,1,ok,1,,,302.57990652709725,24.599996200288214,0.016908825102394467,0.007358431118,0.004212155007,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.915991714692354e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,1,64,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t64/AMD__G3_circuit_k0_t64,1,1,ok,1,,,472.65301708991046,30.74582954125357,0.02113316807483889,0.004518207163,0.03458137694,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,324.0,1,9.869638603295291e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,1,128,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t128/AMD__G3_circuit_k0_t128,1,1,ok,1,,,556.6504283469225,33.3661633499245,0.022934256405095173,0.03247773694,0.07149113691,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,322.0,1,9.604328443524227e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,2,2,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t2/AMD__G3_circuit_k0_t2,1,1,ok,1,,,1.7718449525634244e-26,1.8824690980536307e-13,1.2939164900866004e-16,0.04775037803,0.02515680087,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.112132057478294e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,2,4,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t4/AMD__G3_circuit_k0_t4,1,1,ok,1,,,0.016920118245358638,0.18395715938967225,0.0001264430859715408,0.02380327485,0.01425402099,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.139296595776648e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,2,8,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t8/AMD__G3_circuit_k0_t8,1,1,ok,1,,,0.06541086649805487,0.3616928710883168,0.00024860985539267407,0.01257673302,0.007272160845,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.335290403535528e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,2,16,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t16/AMD__G3_circuit_k0_t16,1,1,ok,1,,,0.1838662080897165,0.6064094459846688,0.00041681596936492,0.01115994505,0.003846523119,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.941117940422344e-09,0,0,0,0,converged
