matrix,k,eligible,replacement_pair,timing_sequential_success,timing_sequential_variant,timing_sequential_seconds
GHS_psdef/audikw_1,0,0,0,0,baseline_nonpositive_pivot,
GHS_psdef/audikw_1,1,1,0,1,baseline,14.35622912
GHS_psdef/audikw_1,2,1,0,1,baseline,59.52789991
GHS_psdef/audikw_1,3,1,1,1,baseline,192.1478072
GHS_psdef/ldoor,0,0,0,0,baseline_nonpositive_pivot,
GHS_psdef/ldoor,1,0,0,0,baseline_nonpositive_pivot,
GHS_psdef/ldoor,2,0,0,0,baseline_nonpositive_pivot,
GHS_psdef/ldoor,3,0,1,0,baseline_nonpositive_pivot,
Oberwolfach/bone010,0,1,0,1,baseline,2.027656809
Oberwolfach/bone010,1,1,0,1,baseline,9.618442279
Oberwolfach/bone010,2,1,0,1,baseline,27.91469416
Oberwolfach/bone010,3,1,1,1,baseline,63.01254418
Schmid/thermal2,0,1,0,1,baseline,0.03369176097
Schmid/thermal2,1,1,0,1,baseline,0.06815703702
Schmid/thermal2,2,1,0,1,baseline,0.149409757
Schmid/thermal2,3,1,1,1,baseline,0.2670862899
Janna/Serena,0,0,0,0,baseline_nonpositive_pivot,
Janna/Serena,1,0,0,0,baseline_nonpositive_pivot,
Janna/Serena,2,0,0,0,baseline_nonpositive_pivot,
Janna/Serena,3,1,1,1,baseline,81.04868448
Janna/Geo_1438,0,1,0,1,baseline,1.046832835
Janna/Geo_1438,1,1,0,1,baseline,4.408481997
Janna/Geo_1438,2,1,0,1,baseline,17.27898301
Janna/Geo_1438,3,1,1,1,baseline,47.60029915
Janna/StocF-1465,0,0,0,0,baseline_nonpositive_pivot,
Janna/StocF-1465,1,0,0,0,baseline_nonpositive_pivot,
Janna/StocF-1465,2,0,0,0,baseline_nonpositive_pivot,
Janna/StocF-1465,3,0,1,0,baseline_nonpositive_pivot,
Janna/Hook_1498,0,1,0,1,baseline,1.203781792
Janna/Hook_1498,1,1,0,1,baseline,4.591784034
Janna/Hook_1498,2,1,0,1,baseline,16.70111878
Janna/Hook_1498,3,1,1,1,baseline,49.39859723
Janna/Flan_1565,0,1,0,1,baseline,3.310109619
Janna/Flan_1565,1,1,0,1,baseline,15.87125576
Janna/Flan_1565,2,1,0,1,baseline,45.12407517
Janna/Flan_1565,3,1,1,1,baseline,99.08499811
AMD/G3_circuit,0,1,0,1,baseline,0.01427172101
AMD/G3_circuit,1,1,0,1,baseline,0.02869881003
AMD/G3_circuit,2,1,0,1,baseline,0.05327919195
AMD/G3_circuit,3,1,1,1,baseline,0.09749599395
Janna/Bump_2911,0,0,0,0,baseline_nonpositive_pivot,
Janna/Bump_2911,1,0,0,0,baseline_nonpositive_pivot,
Janna/Bump_2911,2,0,0,0,baseline_nonpositive_pivot,
Janna/Bump_2911,3,1,1,1,baseline,109.0757618
Janna/Queen_4147,0,0,0,0,baseline_nonpositive_pivot,
Janna/Queen_4147,1,0,0,0,baseline_nonpositive_pivot,
Janna/Queen_4147,2,0,0,0,baseline_nonpositive_pivot,
Janna/Queen_4147,3,0,1,0,baseline_nonpositive_pivot,
