matrix,k,eligible,exclusion_reason,exclusion_evidence,sequential_finite_available,sequential_finite_selected,sequential_nonfinite_attempts,sequential_selected_min_seconds,sequential_selected_median_seconds,sequential_selected_max_seconds
VLSI/vas_stokes_2M,0,1,,,3,3,0,7.208562493,7.210949176,7.216487482
VLSI/vas_stokes_2M,1,1,,,5,3,0,35.43306875,35.69629767,35.70111173
VLSI/vas_stokes_2M,2,1,,,5,3,0,135.0753595,135.1563322,135.2518039
VLSI/vas_stokes_2M,3,1,,,3,3,0,368.134892,368.1902965,368.2274107
Freescale/memchip,0,1,,,3,3,0,0.092263909,0.09269395098,0.09316193801
Freescale/memchip,1,1,,,3,3,0,0.131940037,0.132141427,0.1323235
Freescale/memchip,2,1,,,3,3,0,0.195069664,0.197675862,0.210965191
Freescale/memchip,3,1,,,3,3,0,0.312620255,0.312845943,0.31401671
Freescale/FullChip,0,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,1,,,
Freescale/FullChip,1,0,no_valid_sequential,no finite sequential_ilu result was observed,0,0,0,,,
Freescale/FullChip,2,0,no_valid_sequential,no finite sequential_ilu result was observed,0,0,0,,,
Freescale/FullChip,3,0,no_valid_sequential,no finite sequential_ilu result was observed,0,0,0,,,
Freescale/Freescale2,0,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,3,,,
Freescale/Freescale2,1,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,3,,,
Freescale/Freescale2,2,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,5,,,
Freescale/Freescale2,3,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,3,,,
Freescale/Freescale1,0,1,,,3,3,0,0.13793451,0.137935622,0.139527017
Freescale/Freescale1,1,1,,,3,3,0,0.210205643,0.214092457,0.215473603
Freescale/Freescale1,2,1,,,3,3,0,0.307695152,0.309638766,0.309874623
Freescale/Freescale1,3,1,,,3,3,0,0.422157185,0.422931805,0.423662089
Freescale/circuit5M_dc,0,1,,,3,3,0,0.134799864,0.135822864,0.136959676
Freescale/circuit5M_dc,1,1,,,3,3,0,0.204962536,0.207102198,0.207920034
